Character,Category,Hash40,String,Specific (Done: 82.34%),General (Done: 57.75%),English (Done: 44.91%),Comments
Donkey Kong,,0x776effdcf,passive,,,,
Donkey Kong,,0x7dd8e0a3e,rebound,,,,
Donkey Kong,,0x35076a4c0,run,,,,
Donkey Kong,,0xbe0831584,run_brake_l,skid,skid,Skid,
Donkey Kong,,0xb1a8c28e7,run_brake_r,skid,skid,Skid,
Donkey Kong,,0xde49d2b6f,shoulder_fall,,,,
Donkey Kong,,0xdb87ef275,shoulder_jump,,,,
Donkey Kong,,0x1371e9e457,shoulder_jump_squat,,,,
Donkey Kong,,0xd3fede124,shoulder_turn,,,,
Donkey Kong,,0xd62237786,shoulder_wait,,,,
Donkey Kong,,0x127d758abd,shoulder_walk_fast,,,,
Donkey Kong,,0x1462101369,shoulder_walk_middle,,,,
Donkey Kong,,0x126d14b2a4,shoulder_walk_slow,,,,
Donkey Kong,Special Attacks,0xed8a31e01,special_air_hi,,upb,Up Special,
Donkey Kong,Special Attacks,0xe46c0e666,special_air_lw,,downb,Down Special,
Donkey Kong,Special Attacks,0x14930274b8,special_air_n_cancel,,,Neutral Special,
Donkey Kong,Special Attacks,0x195160ca42,special_air_n_jump_cancel,,,Neutral Special,
Donkey Kong,Special Attacks,0x12fa41ef06,special_air_n_loop,,,Neutral Special,
Donkey Kong,Special Attacks,0x115d2ad736,special_air_n_max,,,Neutral Special,
Donkey Kong,Special Attacks,0x1331f32137,special_air_n_start,,,Neutral Special,
Donkey Kong,Special Attacks,0xd2b3a620b,special_air_s,,sideb,Side Special,
Donkey Kong,Special Attacks,0xa28f17495,special_hi,,,Up Special,
Donkey Kong,Special Attacks,0xee8a2e8a2,special_lw_end,,,Down Special,
Donkey Kong,Special Attacks,0xf250902eb,special_lw_loop,,,Down Special,
Donkey Kong,Special Attacks,0x10ef97f71f,special_lw_start,,,Down Special,
Donkey Kong,Special Attacks,0x915c5de42,special_n,,,Neutral Special,
Donkey Kong,Special Attacks,0x1012b7fbf8,special_n_cancel,,,Neutral Special,
Donkey Kong,Special Attacks,0xeb8131ac9,special_n_loop,,,Neutral Special,
Donkey Kong,Special Attacks,0xdbd47741f,special_n_max,,,Neutral Special,
Donkey Kong,Special Attacks,0xf3a6aace3,special_n_start,,,Neutral Special,
Donkey Kong,Special Attacks,0x976c3b29b,special_s,,,Side Special,
Donkey Kong,,0x5d267ef83,squat,,,,
Donkey Kong,,0x8d58dc131,squat_rv,,,,
Donkey Kong,,0xaa60712ea,squat_wait,,,,
Donkey Kong,Grabs,0x74e9acdb1,throw_b,bthrow,throw,Back Throw,
Donkey Kong,Grabs,0x749f709a8,throw_f,fthrow,throw,Cargo Throw,
Donkey Kong,Grabs,0x9c04494a2,throw_f_b,bfthrow,throw,Back Cargo Throw,
Donkey Kong,Grabs,0x9c72950bb,throw_f_f,ffthrow,throw,Forward Cargo Throw,
Donkey Kong,Grabs,0xa249b58ab,throw_f_hi,ufthrow,throw,Up Cargo Throw,
Donkey Kong,Grabs,0xabaf8a0cc,throw_f_lw,dfthrow,throw,Down Cargo Throw,
Donkey Kong,,0x420201547,turn,,,,
Donkey Kong,,0x9e696ecad,turn_dash,,,,
Donkey Kong,,0x8afd9b84f,turn_run,,,,
Donkey Kong,,0x47dee83e5,wait,idle,idle,Idle,
Donkey Kong,,0x6e395aa39,wait_2,idle,idle,Idle,
Donkey Kong,,0x694929aaf,wait_3,idle,idle,Idle,
Donkey Kong,,0x9fece0d5d,walk_fast,walk,walk,Walk,
Donkey Kong,,0xb4fb275bd,walk_middle,walk,walk,Walk,
Donkey Kong,,0x9eeaf3544,walk_slow,walk,walk,Walk,
Donkey Kong,,0xbca3f3207,wall_damage,,,,
Duck Hunt Duo,,0x9863fc281,(unknown),,,,
Duck Hunt Duo,,0xbd4dbe63a,(unknown),,,,
Duck Hunt Duo,,0xa881b3433,(unknown),,,,
Duck Hunt Duo,,0xcff952a23,(unknown),,,,
Duck Hunt Duo,,0xbff07713b,(unknown),,,,
Duck Hunt Duo,,0x1237aa75f7,(unknown),,,,
Duck Hunt Duo,,0x97eacd12e,(unknown),,,,
Duck Hunt Duo,,0x9a4bcacc5,(unknown),,,,
Duck Hunt Duo,,0xebd6af51d,(unknown),,,,
Duck Hunt Duo,,0xca8fd5eb1,(unknown),,,,
Duck Hunt Duo,,0xeb12c0ec9,(unknown),,,,
Duck Hunt Duo,,0x112f7cb4d1,(unknown),,,,
Duck Hunt Duo,,0xf3a3f311f,(unknown),,,,
Duck Hunt Duo,,0xeeeb3d60d,(unknown),,,,
Duck Hunt Duo,,0xb95b751c9,(unknown),,,,
Duck Hunt Duo,,0x13bf0666ca,(unknown),,,,
Duck Hunt Duo,,0x11128e840f,(unknown),,,,
Duck Hunt Duo,,0x9b5c6425d,(unknown),,,,
Duck Hunt Duo,,0x118b87d5b5,(unknown),,,,
Duck Hunt Duo,,0xd88a289d5,(unknown),,,,
Duck Hunt Duo,,0x1871708dc0,(unknown),,,,
Duck Hunt Duo,,0xf3d52f506,(unknown),,,,
Duck Hunt Duo,,0x11b11f4cb6,(unknown),,,,
Duck Hunt Duo,,0x1160574c75,(unknown),,,,
Duck Hunt Duo,,0x882d73137,(unknown),,,,
Duck Hunt Duo,,0xa72140950,(unknown),,,,
Duck Hunt Duo,,0xc95250ad1,(unknown),,,,
Duck Hunt Duo,Ground Attacks,0xa5ae1e07e,attack_100,,jab,Jab,
Duck Hunt Duo,Ground Attacks,0xea34e5703,attack_100_end,,jab,Jab,
Duck Hunt Duo,Ground Attacks,0x1003559f46,attack_100_start,,jab,Jab,
Duck Hunt Duo,Ground Attacks,0x99c52257e,attack_11,,jab,Jab,
Duck Hunt Duo,Ground Attacks,0x9055b74c4,attack_12,,jab,Jab,
Duck Hunt Duo,Aerial Attacks,0xc33f869bc,attack_air_b,abair,bair,Back Air,
Duck Hunt Duo,Aerial Attacks,0xc3495ada5,attack_air_f,afair,fair,Forward Air,
Duck Hunt Duo,Aerial Attacks,0xdde67d935,attack_air_hi,auair,uair,Up Air,
Duck Hunt Duo,Aerial Attacks,0xd40042152,attack_air_lw,adair,dair,Down Air,
Duck Hunt Duo,Aerial Attacks,0xc3a4e2597,attack_air_n,,nair,Neutral Air,
Duck Hunt Duo,Ground Attacks,0xb6c751ced,attack_dash,,da,Dash Attack,
Duck Hunt Duo,Ground Attacks,0xacbfc42e6,attack_hi3,,utilt,Up Tilt,
Duck Hunt Duo,Ground Attacks,0xa5598d745,attack_hi4,,usmash,Up Smash,
Duck Hunt Duo,Ground Attacks,0xf5db36b5c,attack_hi4_hold,charge_usmash,usmash,Up Smash,
Duck Hunt Duo,Ground Attacks,0xb7dd72b57,attack_s3_s,fftilt,ftilt,Forward Tilt,
Duck Hunt Duo,Ground Attacks,0xea274b695,attack_s4_hold,charge_fsmash,fsmash,Forward Smash,
Duck Hunt Duo,Ground Attacks,0xb78983dd2,attack_s4_s,fsmash,fsmash,Forward Smash,
Duck Hunt Duo,Grabs,0x5c56b7b64,catch,,,Grab,
Duck Hunt Duo,Grabs,0xc0f9e0724,catch_attack,,,Grab,
Duck Hunt Duo,Grabs,0xae4c85cc1,catch_dash,,,Grab,
Duck Hunt Duo,Grabs,0xaeaab5d22,catch_pull,,,Grab,
Duck Hunt Duo,Ledge,0x127aee8c0f,cliff_attack_quick,,,,
Duck Hunt Duo,Ledge,0xb99d9746c,cliff_catch,,,,
Duck Hunt Duo,Ledge,0xa7c8b8f5e,cliff_wait,,,,
Duck Hunt Duo,Disadvantage,0xc8956a9ee,damage_air_1,,hitstun,Hitstun,
Duck Hunt Duo,Disadvantage,0xc105ff854,damage_air_2,,hitstun,Hitstun,
Duck Hunt Duo,Disadvantage,0xc6758c8c2,damage_air_3,,hitstun,Hitstun,
Duck Hunt Duo,Disadvantage,0xb29add323,damage_elec,,hitstun,Hitstun,
Duck Hunt Duo,Disadvantage,0xdc8ca7173,damage_fly_hi,,hitstun,Hitstun,
Duck Hunt Duo,Disadvantage,0xd56a98914,damage_fly_lw,,hitstun,Hitstun,
Duck Hunt Duo,Disadvantage,0xcfb292648,damage_fly_n,,hitstun,Hitstun,
Duck Hunt Duo,Disadvantage,0xfd4ac733b,damage_fly_roll,,hitstun,Hitstun,
Duck Hunt Duo,Disadvantage,0xe08a589d4,damage_fly_top,,hitstun,Hitstun,
Duck Hunt Duo,Disadvantage,0xb7dc027b4,damage_hi_1,,hitstun,Hitstun,
Duck Hunt Duo,Disadvantage,0xbe4c9760e,damage_hi_2,,hitstun,Hitstun,
Duck Hunt Duo,Disadvantage,0xb93ce4698,damage_hi_3,,hitstun,Hitstun,
Duck Hunt Duo,Disadvantage,0xb0a145fb5,damage_lw_3,,hitstun,Hitstun,
Duck Hunt Duo,Disadvantage,0xaef48d400,damage_n_1,,hitstun,Hitstun,
Duck Hunt Duo,Disadvantage,0xa764185ba,damage_n_2,,hitstun,Hitstun,
Duck Hunt Duo,Disadvantage,0xa0146b52c,damage_n_3,,hitstun,Hitstun,
Duck Hunt Duo,,0x49b6edd00,dash,,,,
Duck Hunt Duo,,0xcc24d7e43,down_bound_u,,,,
Duck Hunt Duo,,0x625e8b08e,escape,,,,
Duck Hunt Duo,,0xae47033ba,escape_air,,,,
Duck Hunt Duo,,0x1060d3285b,escape_air_slide,,,,
Duck Hunt Duo,,0x8b12770b1,escape_b,,,,
Duck Hunt Duo,,0x8b64ab4a8,escape_f,,,,
Duck Hunt Duo,,0x4fb50df0c,fall,,,,
Duck Hunt Duo,,0xb29e5172c,fall_aerial,,,,
Duck Hunt Duo,,0xba547290c,fall_damage,,,,
Duck Hunt Duo,,0xc016dd1c6,fall_special,,,,
Duck Hunt Duo,,0xc692cfb94,guard_damage,,,,
Duck Hunt Duo,,0x97ab1c684,guard_off,,,,
Duck Hunt Duo,,0x8da2dd4f9,guard_on,,,,
Duck Hunt Duo,Movement,0xd0c1c4542,jump_aerial_b,,,,
Duck Hunt Duo,Movement,0xd0b71815b,jump_aerial_f,,,,
Duck Hunt Duo,Movement,0x62abde441,jump_b,,,,
Duck Hunt Duo,Movement,0x62dd02058,jump_f,,,,
Duck Hunt Duo,Movement,0xb38c9ab48,jump_f_mini,,,,
Duck Hunt Duo,Movement,0xad160bda8,jump_squat,,,,
Duck Hunt Duo,,0xfefe225e5,just_shield_off,,,,
Duck Hunt Duo,Aerial Attacks,0xd5f9a4aee,landing_air_b,lbair,bair,Back Air,
Duck Hunt Duo,Aerial Attacks,0xd58f78ef7,landing_air_f,lfair,fair,Forward Air,
Duck Hunt Duo,Aerial Attacks,0xe5b6e8bce,landing_air_hi,luair,uair,Up Air,
Duck Hunt Duo,Aerial Attacks,0xec50d73a9,landing_air_lw,ldair,dair,Down Air,
Duck Hunt Duo,Aerial Attacks,0xd562c06c5,landing_air_n,lnair,nair,Neutral Air,
Duck Hunt Duo,,0x1447a7e8cc,landing_fall_special,,,,
Duck Hunt Duo,,0xdc81fdc09,landing_heavy,,,,
Duck Hunt Duo,,0xdd934faa1,landing_light,,,,
Duck Hunt Duo,Movement,0x7da900d48,ottotto,,teeter,Teeter,
Duck Hunt Duo,,0x4ce70d424,pass,,,,
Duck Hunt Duo,,0x776effdcf,passive,,,,
Duck Hunt Duo,,0x35076a4c0,run,,,,
Duck Hunt Duo,,0xbe0831584,run_brake_l,skid,skid,Skid,
Duck Hunt Duo,,0xb1a8c28e7,run_brake_r,skid,skid,Skid,
Duck Hunt Duo,,0x19eec59b9e,shizue_special_s_thrown_b,,,,
Duck Hunt Duo,,0x19e9a85f87,shizue_special_s_thrown_f,,,,
Duck Hunt Duo,,0x1a95b95d44,shizue_special_s_thrown_lw,,,,
Duck Hunt Duo,Special Attacks,0x14dd899136,special_air_hi_start,,upb,Up Special,
Duck Hunt Duo,Special Attacks,0xe46c0e666,special_air_lw,,downb,Down Special,
Duck Hunt Duo,Special Attacks,0xd483c0ed2,special_air_n,,,Neutral Special,
Duck Hunt Duo,Special Attacks,0xd2b3a620b,special_air_s,,sideb,Side Special,
Duck Hunt Duo,Special Attacks,0xa28f17495,special_hi,,,Up Special,
Duck Hunt Duo,Special Attacks,0xeace38357,special_hi_end,,,Up Special,
Duck Hunt Duo,Special Attacks,0x105c3c1e76,special_hi_start,,,Up Special,
Duck Hunt Duo,Special Attacks,0xab6928cf2,special_lw,,,Down Special,
Duck Hunt Duo,Special Attacks,0x915c5de42,special_n,,,Neutral Special,
Duck Hunt Duo,Special Attacks,0x976c3b29b,special_s,,,Side Special,
Duck Hunt Duo,,0x5d267ef83,squat,,,,
Duck Hunt Duo,,0x8d58dc131,squat_rv,,,,
Duck Hunt Duo,,0xaa60712ea,squat_wait,,,,
Duck Hunt Duo,Grabs,0x74e9acdb1,throw_b,bthrow,throw,Back Throw,
Duck Hunt Duo,Grabs,0x749f709a8,throw_f,fthrow,throw,Forward Throw,
Duck Hunt Duo,Grabs,0x8a0abc72c,throw_hi,uthrow,throw,Up Throw,
Duck Hunt Duo,,0x885baf52e,thrown_f,,,,
Duck Hunt Duo,,0x93adf54a2,thrown_lw,,,,
Duck Hunt Duo,,0x420201547,turn,,,,
Duck Hunt Duo,,0x9e696ecad,turn_dash,,,,
Duck Hunt Duo,,0x8afd9b84f,turn_run,,,,
Duck Hunt Duo,,0xecbdbc635,turn_run_brake,skid,skid,Skid,
Duck Hunt Duo,,0x47dee83e5,wait,idle,idle,Idle,
Duck Hunt Duo,,0x6e395aa39,wait_2,idle,idle,Idle,
Duck Hunt Duo,,0x694929aaf,wait_3,idle,idle,Idle,
Duck Hunt Duo,,0x9fece0d5d,walk_fast,walk,walk,Walk,
Duck Hunt Duo,,0xb4fb275bd,walk_middle,walk,walk,Walk,
Duck Hunt Duo,,0x9eeaf3544,walk_slow,walk,walk,Walk,
Duck Hunt Duo,,0xbca3f3207,wall_damage,,,,
Falco,,0x11fe34b412,(unknown),,,,
Falco,,0x11b11f4cb6,(unknown),,,,
Falco,,0x11128e840f,(unknown),,,,
Falco,,0x118b87d5b5,(unknown),,,,
Falco,,0xbbe6bc6c8,(unknown),,,,
Falco,,0xe0bb25962,(unknown),,,,
Falco,,0xf3a3f311f,(unknown),,,,
Falco,,0xa881b3433,(unknown),,,,
Falco,,0xca8fd5eb1,(unknown),,,,
Falco,,0xc95250ad1,(unknown),,,,
Falco,,0x13bf0666ca,(unknown),,,,
Falco,,0x1237aa75f7,(unknown),,,,
Falco,,0xebd6af51d,(unknown),,,,
Falco,,0xf3d52f506,(unknown),,,,
Falco,,0x882d73137,(unknown),,,,
Falco,,0x1160574c75,(unknown),,,,
Falco,,0x1871708dc0,(unknown),,,,
Falco,,0x9a4bcacc5,(unknown),,,,
Falco,,0xc3ce6adce,(unknown),,,,
Falco,,0xb319a8b44,(unknown),,,,
Falco,,0x112f7cb4d1,(unknown),,,,
Falco,,0x11c48e6de3,(unknown),,,,
Falco,,0xeeeb3d60d,(unknown),,,,
Falco,,0xc8a426770,(unknown),,,,
Falco,,0x9863fc281,(unknown),,,,
Falco,Ground Attacks,0xa5ae1e07e,attack_100,,jab,Jab,
Falco,Ground Attacks,0xea34e5703,attack_100_end,,jab,Jab,
Falco,Ground Attacks,0x1003559f46,attack_100_start,,jab,Jab,
Falco,Ground Attacks,0x99c52257e,attack_11,,jab,Jab,
Falco,Ground Attacks,0x9055b74c4,attack_12,,jab,Jab,
Falco,Aerial Attacks,0xc33f869bc,attack_air_b,abair,bair,Back Air,
Falco,Aerial Attacks,0xc3495ada5,attack_air_f,afair,fair,Forward Air,
Falco,Aerial Attacks,0xdde67d935,attack_air_hi,auair,uair,Up Air,
Falco,Aerial Attacks,0xd40042152,attack_air_lw,adair,dair,Down Air,
Falco,Aerial Attacks,0xc3a4e2597,attack_air_n,,nair,Neutral Air,
Falco,Ground Attacks,0xb6c751ced,attack_dash,,da,Dash Attack,
Falco,Ground Attacks,0xacbfc42e6,attack_hi3,,utilt,Up Tilt,
Falco,Ground Attacks,0xa5598d745,attack_hi4,,usmash,Up Smash,
Falco,Ground Attacks,0xf5db36b5c,attack_hi4_hold,charge_usmash,usmash,Up Smash,
Falco,Ground Attacks,0xa18b4d5e5,attack_lw3,,dtilt,Down Tilt,
Falco,Ground Attacks,0xa86d04046,attack_lw4,,dsmash,Down Smash,
Falco,Ground Attacks,0xfee188235,attack_lw4_hold,charge_dsmash,dsmash,Down Smash,
Falco,Ground Attacks,0xc244b16f0,attack_s3_lw,dftilt,ftilt,Forward Tilt,
Falco,Ground Attacks,0xb7dd72b57,attack_s3_s,fftilt,ftilt,Forward Tilt,
Falco,Ground Attacks,0xea274b695,attack_s4_hold,charge_fsmash,fsmash,Forward Smash,
Falco,Ground Attacks,0xb78983dd2,attack_s4_s,fsmash,fsmash,Forward Smash,
Falco,Grabs,0x5c56b7b64,catch,,,Grab,
Falco,Grabs,0xc0f9e0724,catch_attack,,,Grab,
Falco,Grabs,0xae4c85cc1,catch_dash,,,Grab,
Falco,Grabs,0xaeaab5d22,catch_pull,,,Grab,
Falco,Grabs,0x159b5e6b33,catched_air_end_ganon,,,Grab,
Falco,Grabs,0x169e707747,catched_air_fall_ganon,,,Grab,
Falco,Grabs,0x11ee0b6d39,catched_air_ganon,,,Grab,
Falco,Grabs,0xd24aef7e6,catched_ganon,,,Grab,
Falco,Ledge,0x127aee8c0f,cliff_attack_quick,,,,
Falco,Ledge,0xb99d9746c,cliff_catch,,,,
Falco,Ledge,0xa7c8b8f5e,cliff_wait,,,,
Falco,Disadvantage,0xc8956a9ee,damage_air_1,,hitstun,Hitstun,
Falco,Disadvantage,0xc105ff854,damage_air_2,,hitstun,Hitstun,
Falco,Disadvantage,0xc6758c8c2,damage_air_3,,hitstun,Hitstun,
Falco,Disadvantage,0xb29add323,damage_elec,,hitstun,Hitstun,
Falco,Disadvantage,0xdc8ca7173,damage_fly_hi,,hitstun,Hitstun,
Falco,Disadvantage,0xd56a98914,damage_fly_lw,,hitstun,Hitstun,
Falco,Disadvantage,0x11ca458285,damage_fly_meteor,spiked,hitstun,Spiked,
Falco,Disadvantage,0xcfb292648,damage_fly_n,,hitstun,Hitstun,
Falco,Disadvantage,0xfd4ac733b,damage_fly_roll,,hitstun,Hitstun,
Falco,Disadvantage,0xe08a589d4,damage_fly_top,,hitstun,Hitstun,
Falco,Disadvantage,0xb7dc027b4,damage_hi_1,,hitstun,Hitstun,
Falco,Disadvantage,0xbe4c9760e,damage_hi_2,,hitstun,Hitstun,
Falco,Disadvantage,0xb93ce4698,damage_hi_3,,hitstun,Hitstun,
Falco,Disadvantage,0xbe41a3e99,damage_lw_1,,hitstun,Hitstun,
Falco,Disadvantage,0xb0a145fb5,damage_lw_3,,hitstun,Hitstun,
Falco,Disadvantage,0xaef48d400,damage_n_1,,hitstun,Hitstun,
Falco,Disadvantage,0xa764185ba,damage_n_2,,hitstun,Hitstun,
Falco,Disadvantage,0xa0146b52c,damage_n_3,,hitstun,Hitstun,
Falco,,0x49b6edd00,dash,,,,
Falco,,0xd6efe0514,down_attack_u,,,,
Falco,,0xcc24d7e43,down_bound_u,,,,
Falco,,0x625e8b08e,escape,,,,
Falco,,0xae47033ba,escape_air,,,,
Falco,,0x1060d3285b,escape_air_slide,,,,
Falco,,0x8b12770b1,escape_b,,,,
Falco,,0x8b64ab4a8,escape_f,,,,
Falco,,0x4fb50df0c,fall,,,,
Falco,,0xb29e5172c,fall_aerial,,,,
Falco,,0xba547290c,fall_damage,,,,
Falco,,0xc692cfb94,guard_damage,,,,
Falco,,0x97ab1c684,guard_off,,,,
Falco,,0x8da2dd4f9,guard_on,,,,
Falco,Movement,0xd0c1c4542,jump_aerial_b,,,,
Falco,Movement,0xd0b71815b,jump_aerial_f,,,,
Falco,Movement,0x62abde441,jump_b,,,,
Falco,Movement,0xba358e95e,jump_b_mini,,,,
Falco,Movement,0x62dd02058,jump_f,,,,
Falco,Movement,0xb38c9ab48,jump_f_mini,,,,
Falco,Movement,0xad160bda8,jump_squat,,,,
Falco,,0xfefe225e5,just_shield_off,,,,
Falco,Aerial Attacks,0xd5f9a4aee,landing_air_b,lbair,bair,Back Air,
Falco,Aerial Attacks,0xd58f78ef7,landing_air_f,lfair,fair,Forward Air,
Falco,Aerial Attacks,0xe5b6e8bce,landing_air_hi,luair,uair,Up Air,
Falco,Aerial Attacks,0xec50d73a9,landing_air_lw,ldair,dair,Down Air,
Falco,Aerial Attacks,0xd562c06c5,landing_air_n,lnair,nair,Neutral Air,
Falco,,0x1447a7e8cc,landing_fall_special,,,,
Falco,,0xdc81fdc09,landing_heavy,,,,
Falco,,0xdd934faa1,landing_light,,,,
Falco,Movement,0x7da900d48,ottotto,,teeter,Teeter,
Falco,,0x4ce70d424,pass,,,,
Falco,,0x776effdcf,passive,,,,
Falco,,0x35076a4c0,run,,,,
Falco,,0xbe0831584,run_brake_l,skid,skid,Skid,
Falco,,0xb1a8c28e7,run_brake_r,skid,skid,Skid,
Falco,Special Attacks,0xe46c0e666,special_air_lw,,downb,Down Special,
Falco,Special Attacks,0x10b83f8ed8,special_air_lw_r,,downb,Down Special,
Falco,Special Attacks,0x11c0a0c60e,special_air_n_end,,,Neutral Special,
Falco,Special Attacks,0x12fa41ef06,special_air_n_loop,,,Neutral Special,
Falco,Special Attacks,0x1331f32137,special_air_n_start,,,Neutral Special,
Falco,Special Attacks,0xd2b3a620b,special_air_s,,sideb,Side Special,
Falco,Special Attacks,0x1158d0953d,special_air_s_end,,sideb,Side Special,
Falco,Special Attacks,0x1337fadc39,special_air_s_start,,sideb,Side Special,
Falco,Special Attacks,0xa28f17495,special_hi,,,Up Special,
Falco,Special Attacks,0xfb29587f1,special_hi_fall,,,Up Special,
Falco,Special Attacks,0x1377375397,special_hi_hold_air,,,Up Special,
Falco,Special Attacks,0xab6928cf2,special_lw,,,Down Special,
Falco,Special Attacks,0xc0075b9d2,special_lw_r,,,Down Special,
Falco,Special Attacks,0xd20cd6527,special_n_end,,,Neutral Special,
Falco,Special Attacks,0xeb8131ac9,special_n_loop,,,Neutral Special,
Falco,Special Attacks,0xf3a6aace3,special_n_start,,,Neutral Special,
Falco,Special Attacks,0x976c3b29b,special_s,,,Side Special,
Falco,Special Attacks,0xdb8bd3614,special_s_end,,,Side Special,
Falco,Special Attacks,0x11bf9ca033,special_s_landing,,,Side Special,
Falco,Special Attacks,0xf3c6351ed,special_s_start,,,Side Special,
Falco,,0x5d267ef83,squat,,,,
Falco,,0x8d58dc131,squat_rv,,,,
Falco,,0xaa60712ea,squat_wait,,,,
Falco,Grabs,0x74e9acdb1,throw_b,bthrow,throw,Back Throw,
Falco,Grabs,0x749f709a8,throw_f,fthrow,throw,Forward Throw,
Falco,Grabs,0x8a0abc72c,throw_hi,uthrow,throw,Up Throw,
Falco,Grabs,0x83ec83f4b,throw_lw,dthrow,throw,Down Throw,
Falco,,0x885baf52e,thrown_f,,,,
Falco,,0x93adf54a2,thrown_lw,,,,
Falco,,0x420201547,turn,,,,
Falco,,0x9e696ecad,turn_dash,,,,
Falco,,0x8afd9b84f,turn_run,,,,
Falco,,0xecbdbc635,turn_run_brake,skid,skid,Skid,
Falco,,0x47dee83e5,wait,idle,idle,Idle,
Falco,,0x6e395aa39,wait_2,idle,idle,Idle,
Falco,,0x694929aaf,wait_3,idle,idle,Idle,
Falco,,0x9fece0d5d,walk_fast,walk,walk,Walk,
Falco,,0xb4fb275bd,walk_middle,walk,walk,Walk,
Falco,,0x9eeaf3544,walk_slow,walk,walk,Walk,
Falco,,0xbca3f3207,wall_damage,,,,
Fox,,0xa881b3433,(unknown),,,,
Fox,,0x13bf0666ca,(unknown),,,,
Fox,,0xc3ce6adce,(unknown),,,,
Fox,,0xf3a3f311f,(unknown),,,,
Fox,,0x112f7cb4d1,(unknown),,,,
Fox,,0x11128e840f,(unknown),,,,
Fox,,0x882d73137,(unknown),,,,
Fox,,0x11c48e6de3,(unknown),,,,
Fox,,0xf3d52f506,(unknown),,,,
Fox,,0x118b87d5b5,(unknown),,,,
Fox,Ground Attacks,0xa5ae1e07e,attack_100,,jab,Jab,
Fox,Ground Attacks,0xea34e5703,attack_100_end,,jab,Jab,
Fox,Ground Attacks,0x1003559f46,attack_100_start,,jab,Jab,
Fox,Ground Attacks,0x99c52257e,attack_11,,jab,Jab,
Fox,Ground Attacks,0x9055b74c4,attack_12,,jab,Jab,
Fox,Aerial Attacks,0xc33f869bc,attack_air_b,abair,bair,Back Air,
Fox,Aerial Attacks,0xc3495ada5,attack_air_f,afair,fair,Forward Air,
Fox,Aerial Attacks,0xdde67d935,attack_air_hi,auair,uair,Up Air,
Fox,Aerial Attacks,0xd40042152,attack_air_lw,adair,dair,Down Air,
Fox,Aerial Attacks,0xc3a4e2597,attack_air_n,,nair,Neutral Air,
Fox,Ground Attacks,0xb6c751ced,attack_dash,,da,Dash Attack,
Fox,Ground Attacks,0xacbfc42e6,attack_hi3,,utilt,Up Tilt,
Fox,Ground Attacks,0xa5598d745,attack_hi4,,usmash,Up Smash,
Fox,Ground Attacks,0xf5db36b5c,attack_hi4_hold,charge_usmash,usmash,Up Smash,
Fox,Ground Attacks,0xa18b4d5e5,attack_lw3,,dtilt,Down Tilt,
Fox,Ground Attacks,0xea274b695,attack_s4_hold,charge_fsmash,fsmash,Forward Smash,
Fox,Ground Attacks,0xb78983dd2,attack_s4_s,fsmash,fsmash,Forward Smash,
Fox,Grabs,0x5c56b7b64,catch,,,Grab,
Fox,Grabs,0xc0f9e0724,catch_attack,,,Grab,
Fox,Grabs,0xae4c85cc1,catch_dash,,,Grab,
Fox,Grabs,0xaeaab5d22,catch_pull,,,Grab,
Fox,Ledge,0x127aee8c0f,cliff_attack_quick,,,,
Fox,Ledge,0xb99d9746c,cliff_catch,,,,
Fox,Ledge,0xa7c8b8f5e,cliff_wait,,,,
Fox,Disadvantage,0xc8956a9ee,damage_air_1,,hitstun,Hitstun,
Fox,Disadvantage,0xc105ff854,damage_air_2,,hitstun,Hitstun,
Fox,Disadvantage,0xc6758c8c2,damage_air_3,,hitstun,Hitstun,
Fox,Disadvantage,0xb29add323,damage_elec,,hitstun,Hitstun,
Fox,Disadvantage,0xdc8ca7173,damage_fly_hi,,hitstun,Hitstun,
Fox,Disadvantage,0xd56a98914,damage_fly_lw,,hitstun,Hitstun,
Fox,Disadvantage,0xcfb292648,damage_fly_n,,hitstun,Hitstun,
Fox,Disadvantage,0xfd4ac733b,damage_fly_roll,,hitstun,Hitstun,
Fox,Disadvantage,0xe08a589d4,damage_fly_top,,hitstun,Hitstun,
Fox,Disadvantage,0xb7dc027b4,damage_hi_1,,hitstun,Hitstun,
Fox,Disadvantage,0xb93ce4698,damage_hi_3,,hitstun,Hitstun,
Fox,Disadvantage,0xbe41a3e99,damage_lw_1,,hitstun,Hitstun,
Fox,Disadvantage,0xb7d136f23,damage_lw_2,,hitstun,Hitstun,
Fox,Disadvantage,0xb0a145fb5,damage_lw_3,,hitstun,Hitstun,
Fox,Disadvantage,0xaef48d400,damage_n_1,,hitstun,Hitstun,
Fox,Disadvantage,0xa764185ba,damage_n_2,,hitstun,Hitstun,
Fox,Disadvantage,0xa0146b52c,damage_n_3,,hitstun,Hitstun,
Fox,,0x49b6edd00,dash,,,,
Fox,,0x625e8b08e,escape,,,,
Fox,,0xae47033ba,escape_air,,,,
Fox,,0x1060d3285b,escape_air_slide,,,,
Fox,,0x8b12770b1,escape_b,,,,
Fox,,0x8b64ab4a8,escape_f,,,,
Fox,,0x4fb50df0c,fall,,,,
Fox,,0xb29e5172c,fall_aerial,,,,
Fox,,0xba547290c,fall_damage,,,,
Fox,,0xc692cfb94,guard_damage,,,,
Fox,,0x97ab1c684,guard_off,,,,
Fox,,0x8da2dd4f9,guard_on,,,,
Fox,Movement,0xd0c1c4542,jump_aerial_b,,,,
